"trial","endpoint","N_AC","events_AC","N_device","events_device","file"
"CHAMPION","major_bleeding",1501,89,1499,83,"CHAMPION_major_bleeding.csv"
"CHAMPION","nonprocedural_ISTH_major_bleeding",1501,88,1499,69,"CHAMPION_nonprocedural_ISTH_major_bleeding.csv"
"CHAMPION","nonprocedure_bleeding",1501,285,1499,145,"CHAMPION_nonprocedure_bleeding.csv"
"CHAMPION","nonprocedural_modified_ISTH_CRNM_bleeding",1501,190,1499,99,"CHAMPION_nonprocedural_modified_ISTH_CRNM_bleeding.csv"
"CHAMPION","procedural_nonprocedural_ISTH_major_and_CRNM_bleeding",1501,269,1499,175,"CHAMPION_procedural_nonprocedural_ISTH_major_and_CRNM_bleeding.csv"
"CHAMPION","all_stroke",1501,33,1499,41,"CHAMPION_all_stroke.csv"
"OPTION","major_bleeding",797,39,803,30,"OPTION_major_bleeding.csv"
"OPTION","ISTH_major_bleeding_including_procedure_related",797,39,803,31,"OPTION_ISTH_major_bleeding_including_procedure_related.csv"
"OPTION","nonprocedure_major_or_CRNM_bleeding",797,140,803,62,"OPTION_nonprocedure_major_or_CRNM_bleeding.csv"
"OPTION","death_stroke_SE_composite",797,45,803,42,"OPTION_death_stroke_SE_composite.csv"
"PRAGUE17","all_stroke_TIA",201,24,201,17,"PRAGUE17_all_stroke_TIA.csv"
"PRAGUE17","clinically_relevant_bleeding",201,13,201,13,"PRAGUE17_clinically_relevant_bleeding.csv"
"PRAGUE17","nonprocedural_clinically_relevant_bleeding",201,30,201,23,"PRAGUE17_nonprocedural_clinically_relevant_bleeding.csv"
