# study: CHAMPION | population: ITT | endpoint: Non-procedural ISTH Major Bleeding
arm,x,y
AC,0.004306,-0.074765
AC,0.106129,0.062637
AC,0.211588,0.543540
AC,0.215224,0.818343
AC,0.233407,0.887043
AC,0.411596,0.887043
AC,0.524329,1.299247
AC,0.724337,1.367947
AC,1.095262,1.986252
AC,1.226177,2.467156
AC,1.295270,2.467156
AC,1.324363,2.741959
AC,1.415276,2.948060
AC,1.426185,3.154162
AC,1.491642,3.154162
AC,1.582555,3.566365
AC,1.677105,3.566365
AC,2.058939,4.802976
AC,2.375316,5.077778
AC,2.400772,5.421281
AC,2.749878,5.764783
AC,2.818972,6.108286
AC,3.004434,6.383089
