# study: OPTION | population: ITT | endpoint: Death from Any Cause, Stroke, or Systemic Embolism
arm,x,y
AC,0.009494,0.063091
AC,0.014076,0.303495
AC,0.045700,0.303495
AC,0.061512,0.539924
AC,0.188006,0.539924
AC,0.195912,0.697544
AC,0.227536,0.697544
AC,0.251254,0.933973
AC,0.310548,0.933973
AC,0.314501,1.052188
AC,0.421231,1.052188
AC,0.425184,1.249212
AC,0.456808,1.249212
AC,0.492384,1.603856
AC,0.678173,1.603856
AC,0.682126,1.761476
AC,0.780950,1.761476
AC,0.808621,1.997905
AC,0.875821,1.997905
AC,0.879774,2.155524
AC,1.342270,2.273739
AC,1.350176,2.391954
AC,1.377847,2.391954
AC,1.409471,2.943622
AC,1.532012,2.943622
AC,1.547824,3.219456
AC,1.583401,3.219456
AC,1.603166,3.495291
AC,1.634789,3.495291
AC,1.638742,3.613505
AC,1.698037,3.613505
AC,1.701990,3.731720
AC,1.935214,3.731720
AC,1.943120,3.928744
AC,2.077521,4.046959
AC,2.081474,4.165174
AC,2.128909,4.243984
AC,2.318651,4.243984
AC,2.322604,4.362198
AC,2.338416,4.362198
AC,2.350275,4.638032
AC,2.492581,4.638032
AC,2.496534,4.756247
AC,2.536064,4.756247
AC,2.543970,4.874462
AC,2.611170,4.874462
AC,2.615123,5.032081
AC,2.634888,5.032081
AC,2.638841,5.150296
AC,2.721853,5.150296
AC,2.733712,5.465535
AC,2.820677,5.583750
AC,2.824630,5.741369
AC,2.927407,5.741369
AC,2.931360,5.859584
AC,3.014372,5.898989
