# study: OPTION | population: ITT | endpoint: ISTH major bleeding, including procedure-related bleeding
arm,x,y
device,-0.001452,0.164679
device,0.020826,0.696591
device,0.161921,0.696591
device,0.169347,0.962548
device,0.195338,1.095526
device,0.373563,1.095526
device,0.392129,1.228504
device,0.425546,1.228504
device,0.432972,1.394726
device,0.499806,1.394726
device,0.514658,1.527704
device,0.626049,1.527704
device,0.637188,1.627438
device,0.874822,1.627438
device,0.900813,1.760416
device,0.908239,1.926639
device,1.030769,1.926639
device,1.045621,2.059617
device,1.149585,2.059617
device,1.157012,2.159350
device,1.194142,2.159350
device,1.227559,2.558284
device,1.260976,2.558284
device,1.272115,2.658018
device,1.364941,2.658018
device,1.379793,2.857485
device,1.628566,2.857485
device,1.650844,3.023708
device,2.345179,3.056952
device,2.356318,3.223175
device,2.408301,3.223175
device,2.423153,3.356153
device,2.571674,3.356153
device,2.579100,3.622109
device,2.761038,3.622109
device,2.772177,3.755087
device,2.972680,3.755087
device,2.980106,3.921310
device,3.009811,3.954554
