# study: OPTION | population: ITT | endpoint: major bleeding
arm,x,y
device,0.000000,0.032895
device,0.013172,0.296053
device,0.023052,0.526316
device,0.154724,0.580397
device,0.158678,0.896361
device,0.178447,0.896361
device,0.182401,1.014848
device,0.368234,1.014848
device,0.372188,1.133334
device,0.415681,1.133334
device,0.419635,1.291317
device,0.490805,1.291317
device,0.494759,1.409803
device,0.866424,1.528290
device,0.890148,1.646777
device,0.898056,1.844255
device,1.139243,1.923246
device,1.143197,2.041732
device,1.186690,2.041732
device,1.206459,2.199715
device,1.214367,2.476184
device,1.257860,2.476184
device,1.261814,2.594670
device,1.360661,2.594670
device,1.364615,2.752653
device,1.621618,2.752653
device,1.641387,2.910635
device,2.246333,2.910635
device,2.250287,3.029122
device,2.337272,3.029122
device,2.341226,3.187104
device,2.400534,3.187104
device,2.408442,3.305591
device,2.562644,3.305591
device,2.566598,3.582060
device,2.961987,3.700546
device,2.969895,3.898024
device,3.001526,3.898024
