# study: PRAGUE17 | population: ITT | endpoint: all-stroke/transient ischemic attack
arm,x,y
device,0.027682,0.000000
device,0.179931,0.102564
device,0.433679,0.307692
device,0.447520,0.923077
device,0.507497,1.025641
device,0.535179,1.538462
device,0.664360,1.538462
device,0.696655,2.051282
device,1.047290,2.051282
device,1.056517,2.564103
device,1.462514,2.666667
device,1.462514,3.282051
device,1.513264,3.282051
device,1.522491,3.589744
device,1.568627,3.589744
device,1.573241,3.897436
device,1.734717,4.000000
device,1.753172,4.512821
device,2.023236,4.591445
device,2.093020,4.591445
device,2.130238,5.108563
device,2.195370,5.108563
device,2.200022,5.625680
device,2.274458,5.625680
device,2.279111,6.142798
device,2.414026,6.142798
device,2.418679,6.659916
device,2.548942,6.659916
device,2.553595,7.280458
device,2.800165,7.280458
device,2.804817,8.004423
device,3.502658,8.004423
device,3.507310,8.624964
device,3.744576,8.624964
device,3.749228,9.555776
device,3.995799,9.555776
