# study: PRAGUE17 | population: ITT | endpoint: clinically relevant bleeding
arm,x,y
device,0.004673,-0.104167
device,0.107386,0.195834
device,0.447565,0.195834
device,0.452225,0.611350
device,0.508145,0.715229
device,0.512805,1.130744
device,1.123264,1.130744
device,1.127924,1.442381
device,1.351603,1.442381
device,1.356263,1.857897
device,1.398203,1.857897
device,1.402863,2.377291
device,1.458783,2.377291
device,1.463443,3.000565
device,1.705762,3.000565
device,1.710422,3.727717
device,1.780322,3.727717
device,1.784982,4.350991
device,2.135514,4.479167
device,2.186916,4.791667
device,2.233645,5.000000
device,2.897196,5.208333
device,2.901869,5.937500
device,3.065421,5.937500
device,3.070093,6.458333
device,3.336449,6.458333
device,3.341121,7.083333
device,3.747664,7.187500
device,3.752336,8.125000
device,3.995327,8.229167
