# study: PRAGUE17 | population: ITT | endpoint: nonprocedural clinically-relevant bleeding
arm,x,y
device,0.008326,0.264448
device,0.026941,0.264448
device,0.031595,0.886832
device,0.064171,0.886832
device,0.087440,1.924139
device,0.166555,2.442792
device,0.250323,3.480099
device,0.268938,4.413675
device,0.310822,4.413675
device,0.320130,5.036058
device,0.576089,5.036058
device,0.580743,6.073365
device,1.218313,6.384557
device,1.222966,6.799480
device,1.492887,6.799480
device,1.502194,7.836786
device,2.023419,7.836786
device,2.028073,8.562901
device,2.186302,8.562901
device,2.190956,9.081554
device,2.214225,9.081554
device,2.218879,9.600208
device,2.544645,9.600208
device,2.549298,10.118861
device,2.600490,10.118861
device,2.605144,10.430053
device,3.833746,10.430053
device,3.838400,11.674821
device,3.903553,11.674821
device,3.912861,12.712128
device,3.991975,12.712128
