# study: champion | population: ITT | endpoint: Non-procedural Modified ISTH Clinically Relevant Non-major Bleeding
arm,x,y
AC,-0.005716,0.124763
AC,0.031145,0.466062
AC,0.068007,0.397802
AC,0.174907,1.694739
AC,0.333413,2.445597
AC,0.381333,3.332975
AC,0.432940,3.401235
AC,0.521409,4.152093
AC,0.595132,4.220353
AC,0.657798,4.902951
AC,0.761011,5.653810
AC,0.819990,5.790329
AC,0.845793,6.131629
AC,0.923203,6.268148
AC,0.996927,7.087266
AC,1.026417,7.155526
AC,1.059592,7.701605
AC,1.103827,7.701605
AC,1.155433,8.111164
AC,1.284450,8.520723
AC,1.369232,8.588983
AC,1.380291,8.793762
AC,1.490876,9.271581
AC,1.697303,9.612880
AC,1.745223,9.954179
AC,1.822633,10.090699
AC,1.855809,10.431998
AC,2.080667,10.636778
AC,2.139646,11.114597
AC,2.239173,11.251116
AC,2.246545,11.455896
AC,2.301838,11.524156
AC,2.360817,12.001975
AC,2.441913,12.070234
AC,2.464030,12.343274
AC,2.504579,12.343274
AC,2.541440,12.616313
AC,2.611478,12.616313
AC,2.655712,12.957612
AC,2.751553,12.957612
AC,2.832649,13.230652
AC,3.016959,14.254549
