# study: champion | population: ITT | endpoint: major bleeding
arm,x,y
AC,0.011834,-0.031546
AC,0.029586,-0.031546
AC,0.050296,0.000000
AC,0.064014,0.228108
AC,0.065089,0.000000
AC,0.164429,0.422775
AC,0.196379,0.617442
AC,0.200943,0.812109
AC,0.246586,0.909442
AC,0.257396,0.883281
AC,0.440828,0.977918
AC,0.455621,0.977918
AC,0.464497,1.041009
AC,0.473373,1.072555
AC,0.500000,1.041009
AC,0.511316,1.298776
AC,0.716710,1.396110
AC,0.908410,1.688110
AC,0.917539,1.834110
AC,1.008825,1.882777
AC,1.031647,2.028777
AC,1.164012,2.126111
AC,1.168576,2.272111
AC,1.232476,2.515444
AC,1.296376,2.515444
AC,1.332891,2.758778
AC,1.387662,2.807445
AC,1.424177,3.099445
AC,1.492641,3.099445
AC,1.497206,3.245445
AC,1.574799,3.342779
AC,1.583928,3.537445
AC,1.679778,3.537445
AC,1.707164,3.732112
AC,1.775628,3.780779
AC,1.780193,3.975446
AC,1.971893,4.316113
AC,1.990151,4.559447
AC,2.035794,4.510780
AC,2.058615,4.705447
AC,2.186416,4.900114
AC,2.387245,4.948780
AC,2.405502,4.997447
AC,2.414631,5.240781
AC,2.478531,5.240781
AC,2.647411,5.678781
AC,2.756954,5.678781
AC,2.820854,5.970781
AC,2.898447,5.970781
AC,2.934962,6.165448
AC,2.940828,6.182965
AC,2.985207,6.246057
AC,3.000000,6.309148
