# study: closure-af | population: ITT | endpoint: Noncardiovascular Death
arm,x,y
device,-0.005224,0.237377
device,0.130366,0.693646
device,0.290610,2.290587
device,0.352242,2.290587
device,0.413874,3.317192
device,0.931584,3.545327
device,0.943911,4.001596
device,1.067175,4.001596
device,1.141134,4.800066
device,1.338356,4.800066
device,1.412315,5.028201
device,1.449294,5.598537
device,1.572559,5.598537
device,1.584885,5.940739
device,1.646517,5.940739
device,1.658844,6.511075
device,1.917699,6.511075
device,1.967004,7.423613
device,2.238186,7.765815
device,2.349124,9.134621
device,2.447735,9.134621
device,2.534020,10.275294
device,2.669611,10.617496
device,2.681937,11.073765
device,2.866834,11.073765
device,2.891486,11.530033
device,3.261279,11.530033
device,3.335238,12.556639
device,4.173435,12.556639
device,4.185761,13.241042
device,4.530901,13.241042
device,4.543228,14.039513
device,4.839062,14.039513
device,4.851389,15.066118
device,5.997746,15.180185
