# study: closure-af | population: ITT | endpoint: stroke, systemic embolism, major bleeding or cardiovascular or unexplained death
arm,x,y
device,0.019334,0.440529
device,0.032223,4.625551
device,0.148228,8.370044
device,0.315789,12.775330
device,0.353282,15.463097
device,0.617911,16.593648
device,0.650989,17.724199
device,0.893566,18.101049
device,1.103064,20.739001
device,1.356667,21.869552
device,1.389746,23.000103
device,1.786689,24.507504
device,1.919004,26.768606
device,2.095423,26.768606
device,2.448262,30.537110
device,2.503393,32.798212
device,3.043677,35.436164
device,3.175992,37.697266
device,3.297280,37.697266
device,3.517804,40.335218
device,4.146298,41.842619
device,4.366823,44.857422
device,4.466059,44.857422
device,4.488111,46.364823
device,4.609399,46.364823
device,4.664530,48.249075
device,5.414313,49.002775
device,5.425339,50.510177
device,5.678942,50.510177
device,5.734073,56.539782
device,5.987676,56.539782
